,Dara,Descricao,Categoria,Conta,Valor,RecXDes
0,15/06/2024,latam_site_03/04,Viagem,Santander - C.C...,1706.86,despesa
1,17/06/2024,azul___*ulgu2dpere_02/06,Viagem,Santander - C.C...,774.01,despesa
3,15/06/2024,hdi_seguros_sa_03/10,Outros,Santander - C.C...,682.56,despesa
4,15/06/2024,airbnb_*_hmwsjbtfm9_03/05,Viagem,Santander - C.C...,622.3,despesa
5,17/06/2024,iberia_linea000142_06/07,Viagem,Santander - C.C...,600.73,despesa
8,15/06/2024,ec_*ticketmaster_01/03,diversao,Santander - C.C...,517.51,despesa
9,17/06/2024,supermercado_guanabara,alimentacao,Santander - C.C...,380.05,despesa
11,15/06/2024,clean_skin_s_e_e_e_03/08,beleza,Santander - C.C...,255.9,despesa
12,17/06/2024,posto_confianca,Transporte,Santander - C.C...,240.88,despesa
14,15/06/2024,loungerie_plaza_nitero_01/03,Compras,Santander - C.C...,226.5,despesa
15,15/06/2024,mundo_baby_comercio_d_03/03,Outros,Santander - C.C...,173.29,despesa
16,15/06/2024,hna*oboticario_01/02,beleza,Santander - C.C...,169.13,despesa
17,15/06/2024,clean_skin_s_e_e_e_03/12,beleza,Santander - C.C...,141.3,despesa
18,15/06/2024,buzin_pizzaria,alimentacao,Santander - C.C...,141.3,despesa
19,17/06/2024,mercadolivre*mercadoliv,alimentacao,Santander - C.C...,131.1,despesa
21,17/06/2024,cea_nit_560_ecpc___01/02,Outros,Santander - C.C...,124.99,despesa
23,15/06/2024,ifd*tbb_plaza_niteroi,alimentacao,Santander - C.C...,120.79,despesa
24,17/06/2024,sephora_niteroi____02/04,beleza,Santander - C.C...,117.25,despesa
26,17/06/2024,ifd*outback_steakhouse,alimentacao,Santander - C.C...,115.69,despesa
27,17/06/2024,amazon_br__________01/02,Compras,Santander - C.C...,105.51,despesa
29,17/06/2024,anuidade_diferenci_12/12,anuidade,Santander - C.C...,100.0,despesa
32,15/06/2024,apple.com/bill,Outros,Santander - C.C...,99.9,despesa
33,15/06/2024,dl__________*sheincom_02/03,Compras,Santander - C.C...,99.57,despesa
34,17/06/2024,niteroi_sushi_restaur,alimentacao,Santander - C.C...,98.92,despesa
37,15/06/2024,niteroi_sushi_restaur,alimentacao,Santander - C.C...,95.94,despesa
38,15/06/2024,padaria_sao_bento,alimentacao,Santander - C.C...,87.58,despesa
39,15/06/2024,mercado_qz,alimentacao,Santander - C.C...,87.29,despesa
40,15/06/2024,amazon_marketplace_02/02,Compras,Santander - C.C...,86.13,despesa
41,15/06/2024,calcados_mariu_ltda_01/02,Compras,Santander - C.C...,84.4,despesa
42,15/06/2024,achei_conveniencia,alimentacao,Santander - C.C...,83.29,despesa
43,15/06/2024,mercado_qz,alimentacao,Santander - C.C...,78.1,despesa
44,15/06/2024,alia_express_ltda,Outros,Santander - C.C...,77.0,despesa
45,15/06/2024,amazon_br_02/02,Compras,Santander - C.C...,76.44,despesa
46,17/06/2024,anuidade_diferenc__02/12,anuidade,Santander - C.C...,56.5,despesa
47,17/06/2024,99app_______*99app,Transporte,Santander - C.C...,52.0,despesa
49,15/06/2024,dm*sheincom_02/03,Compras,Santander - C.C...,51.38,despesa
50,15/06/2024,sunomono_niteroi,alimentacao,Santander - C.C...,50.8,despesa
51,15/06/2024,uber___*uber___*trip,Transporte,Santander - C.C...,44.9,despesa
52,15/06/2024,rei_do_mate_praca_xv_d,alimentacao,Santander - C.C...,44.35,despesa
53,17/06/2024,99app_______*99app,Transporte,Santander - C.C...,43.6,despesa
55,15/06/2024,maquina_de_jogos,Outros,Santander - C.C...,38.0,despesa
56,17/06/2024,smiles_club_smiles_02/12,Viagem,Santander - C.C...,37.8,despesa
57,17/06/2024,smiles_club_smiles_06/12,Viagem,Santander - C.C...,37.8,despesa
58,17/06/2024,azul_linhas_aereas_bras,Viagem,Santander - C.C...,37.8,despesa
60,15/06/2024,dl*sheincom_02/03,Compras,Santander - C.C...,37.07,despesa
61,15/06/2024,uber___*uber___*trip,Transporte,Santander - C.C...,36.75,despesa
62,15/06/2024,chocolate_lugano_rj,alimentacao,Santander - C.C...,36.27,despesa
63,15/06/2024,uber___*uber___*trip,Transporte,Santander - C.C...,35.62,despesa
64,15/06/2024,uber___*uber___*trip,Transporte,Santander - C.C...,35.51,despesa
65,17/06/2024,dm__________*spotify,servicos,Santander - C.C...,34.9,despesa
67,15/06/2024,calcados_mariu_ltda,Compras,Santander - C.C...,34.9,despesa
68,15/06/2024,mercado_qz,alimentacao,Santander - C.C...,33.25,despesa
69,15/06/2024,uber*_trip,Transporte,Santander - C.C...,30.68,despesa
70,17/06/2024,anuidade_diferenc__02/12,anuidade,Santander - C.C...,28.25,despesa
71,15/06/2024,megamatte_av_rio_branc,alimentacao,Santander - C.C...,26.4,despesa
72,15/06/2024,nb_alimentos_coisas_da,alimentacao,Santander - C.C...,24.0,despesa
73,15/06/2024,emporio_ribeiro_horti,alimentacao,Santander - C.C...,22.84,despesa
74,17/06/2024,amazon_music,Compras,Santander - C.C...,21.9,despesa
76,15/06/2024,cheirin_bao_barcas,Transporte,Santander - C.C...,21.5,despesa
78,15/06/2024,puro___*suco_sao_franc,alimentacao,Santander - C.C...,21.0,despesa
79,15/06/2024,rio_arena,Outros,Santander - C.C...,21.0,despesa
80,15/06/2024,uber*_trip,Transporte,Santander - C.C...,20.89,despesa
81,15/06/2024,emporio_ribeiro_horti,alimentacao,Santander - C.C...,20.82,despesa
82,15/06/2024,art_cafe_lapa,alimentacao,Santander - C.C...,20.0,despesa
83,17/06/2024,amazonprimebr,Compras,Santander - C.C...,19.9,despesa
84,17/06/2024,dl*google_alfred,Outros,Santander - C.C...,19.49,despesa
86,15/06/2024,panito,alimentacao,Santander - C.C...,19.0,despesa
87,15/06/2024,netflix.com,servicos,Santander - C.C...,18.9,despesa
88,15/06/2024,uber*_trip,Transporte,Santander - C.C...,18.71,despesa
89,15/06/2024,emporio_santa_ana_cafe,alimentacao,Santander - C.C...,18.48,despesa
90,17/06/2024,99app_______*99app,Transporte,Santander - C.C...,18.2,despesa
92,15/06/2024,uber*_trip,Transporte,Santander - C.C...,18.14,despesa
93,15/06/2024,pag*monicalopesde,Outros,Santander - C.C...,18.0,despesa
94,15/06/2024,uber*_trip,Transporte,Santander - C.C...,17.39,despesa
95,17/06/2024,99app_______*99app,Transporte,Santander - C.C...,16.6,despesa
97,15/06/2024,rio_arena,Outros,Santander - C.C...,16.0,despesa
98,15/06/2024,uber*_trip,Transporte,Santander - C.C...,15.27,despesa
99,15/06/2024,uber*_trip,Transporte,Santander - C.C...,15.22,despesa
100,15/06/2024,cheirin_bao_barcas,Transporte,Santander - C.C...,15.0,despesa
102,15/06/2024,uber*_trip,Transporte,Santander - C.C...,13.57,despesa
103,15/06/2024,cheirin_bao_barcas,Transporte,Santander - C.C...,12.5,despesa
104,15/06/2024,uber*_trip,Transporte,Santander - C.C...,12.26,despesa
105,15/06/2024,uber*_trip,Transporte,Santander - C.C...,12.04,despesa
106,15/06/2024,frutas_sabia,alimentacao,Santander - C.C...,12.0,despesa
107,15/06/2024,supermercado_real,alimentacao,Santander - C.C...,11.99,despesa
108,17/06/2024,uber*_trip,Transporte,Santander - C.C...,11.98,despesa
110,15/06/2024,uber___*uber___*trip,Transporte,Santander - C.C...,11.8,despesa
111,15/06/2024,casal_20_lanches,alimentacao,Santander - C.C...,11.0,despesa
112,17/06/2024,uber*_trip,Transporte,Santander - C.C...,10.99,despesa
114,17/06/2024,uber*_trip,Transporte,Santander - C.C...,10.96,despesa
116,15/06/2024,uber___*uber___*trip,Transporte,Santander - C.C...,9.92,despesa
117,15/06/2024,drakatia,Outros,Santander - C.C...,9.9,despesa
118,15/06/2024,tempero_a_gosto,alimentacao,Santander - C.C...,9.54,despesa
119,17/06/2024,uber*_trip,Transporte,Santander - C.C...,8.97,despesa
121,17/06/2024,deposito_do__ct_avo,alimentacao,Santander - C.C...,8.0,despesa
122,15/06/2024,barcas_s.a,Transporte,Santander - C.C...,7.7,despesa
132,15/06/2024,metro_rj,Outros,Santander - C.C...,7.5,despesa
133,15/06/2024,panito,alimentacao,Santander - C.C...,7.0,despesa
134,15/06/2024,casal_20_lanches,alimentacao,Santander - C.C...,6.5,despesa
135,15/06/2024,cheirin_bao_barcas,Transporte,Santander - C.C...,6.5,despesa
136,15/06/2024,chocolate_lugano_rj,alimentacao,Santander - C.C...,6.4,despesa
137,15/06/2024,hot_dog_007,alimentacao,Santander - C.C...,3.0,despesa
138,15/06/2024,uber*_trip,Transporte,Santander - C.C...,2.91,despesa
